Location,SMM,SMMRace,SMMPercent,RiskFactor1,AgeRace,Ageover35Percent,RiskFactor2,BleedingDisorderRace,BleedingDisorderPercent,RiskFactor3,AsthmaRace,AsthmaPercent,RiskFactor4,PreclampsiaRace,PreclampsiaPercent,RiskFactor5,DiabetesRace,DiabetesPercent,RiskFactor6,Race,Percent,RiskFactor7,PretermRace,PretermPercent,
Riverside-San_Bernardino-Ontario_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Phoenix-Mesa-Scottsdale_AZ,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Seattle-Tacoma-Bellevue_WA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Minneapolis-St._Paul-Bloomington_MN-WI,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
San_Diego-Carlsbad_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
St._Louis_MO-IL,SMM_Rate_per_10000,Black,142,Age_>=_35_at_Delivery_per_100,Black,17.4,Bleeding_Disorder,Black,2.3,Asthma_per_100,Black,10.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.4,Preexisting_Diabetes_per_100,Black,2.5,Cardiac_Disease_per_100,Black,1.5,Current_Birth_Preterm_per100,Black,14,
Tampa-St._Petersburg-Clearwater_FL,SMM_Rate_per_10000,Black,91,Age_>=_35_at_Delivery_per_100,Black,24.3,Bleeding_Disorder,Black,2.5,Asthma_per_100,Black,6.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10.4,Preexisting_Diabetes_per_100,Black,2.7,Cardiac_Disease_per_100,Black,0.3,Current_Birth_Preterm_per100,Black,7.9,
Baltimore-Columbia-Towson_MD,SMM_Rate_per_10000,Black,134,Age_>=_35_at_Delivery_per_100,Black,26.1,Bleeding_Disorder,Black,3.9,Asthma_per_100,Black,14.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.3,Preexisting_Diabetes_per_100,Black,1.9,Cardiac_Disease_per_100,Black,2.1,Current_Birth_Preterm_per100,Black,12.2,
Denver-Aurora-Lakewood_CO,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Pittsburgh_PA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Portland-Vancouver-Hillsboro_OR-WA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Charlotte-Concord-Gastonia_NC-SC,SMM_Rate_per_10000,Black,118,Age_>=_35_at_Delivery_per_100,Black,21.1,Bleeding_Disorder,Black,3,Asthma_per_100,Black,6.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.9,Preexisting_Diabetes_per_100,Black,3.1,Cardiac_Disease_per_100,Black,1.8,Current_Birth_Preterm_per100,Black,11,
Sacramento--Roseville--Arden-Arcade_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
San_Antonio-New_Braunfels_TX,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Orlando-Kissimmee-Sanford_FL,SMM_Rate_per_10000,Black,99,Age_>=_35_at_Delivery_per_100,Black,23.2,Bleeding_Disorder,Black,2.4,Asthma_per_100,Black,3.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,13.3,Preexisting_Diabetes_per_100,Black,2.4,Cardiac_Disease_per_100,Black,0.8,Current_Birth_Preterm_per100,Black,12.9,
Cincinnati_OH-KY-IN,SMM_Rate_per_10000,Black,47,Age_>=_35_at_Delivery_per_100,Black,21.3,Bleeding_Disorder,Black,3.8,Asthma_per_100,Black,5.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.1,Preexisting_Diabetes_per_100,Black,1.1,Cardiac_Disease_per_100,Black,0.5,Current_Birth_Preterm_per100,Black,9.5,
Cleveland-Elyria_OH,SMM_Rate_per_10000,Black,121,Age_>=_35_at_Delivery_per_100,Black,19.3,Bleeding_Disorder,Black,3.1,Asthma_per_100,Black,9.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.3,Preexisting_Diabetes_per_100,Black,2.5,Cardiac_Disease_per_100,Black,1.9,Current_Birth_Preterm_per100,Black,11.2,
Kansas_City_MO-KS,SMM_Rate_per_10000,Black,69,Age_>=_35_at_Delivery_per_100,Black,16.7,Bleeding_Disorder,Black,1.1,Asthma_per_100,Black,11,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.3,Preexisting_Diabetes_per_100,Black,2.6,Cardiac_Disease_per_100,Black,1.3,Current_Birth_Preterm_per100,Black,16.7,
Las_Vegas-Henderson-Paradise_NV,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Columbus_OH,SMM_Rate_per_10000,Black,357,Age_>=_35_at_Delivery_per_100,Black,17.9,Bleeding_Disorder,Black,2.3,Asthma_per_100,Black,6.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.4,Preexisting_Diabetes_per_100,Black,1.8,Cardiac_Disease_per_100,Black,1.8,Current_Birth_Preterm_per100,Black,13,
Indianapolis-Carmel-Anderson_IN,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,16.7,Bleeding_Disorder,Black,2.7,Asthma_per_100,Black,7.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,13.3,Preexisting_Diabetes_per_100,Black,1.8,Cardiac_Disease_per_100,Black,1.1,Current_Birth_Preterm_per100,Black,10.6,
San_Jose-Sunnyvale-Santa_Clara_CA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Austin-Round_Rock_TX,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Virginia_Beach-Norfolk-Newport_News_VA-NC,SMM_Rate_per_10000,Black,118,Age_>=_35_at_Delivery_per_100,Black,16.7,Bleeding_Disorder,Black,1.6,Asthma_per_100,Black,8.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10,Preexisting_Diabetes_per_100,Black,2,Cardiac_Disease_per_100,Black,0.9,Current_Birth_Preterm_per100,Black,11.9,
Nashville-Davidson--Murfreesboro--Franklin_TN,SMM_Rate_per_10000,Black,198,Age_>=_35_at_Delivery_per_100,Black,23.5,Bleeding_Disorder,Black,1.9,Asthma_per_100,Black,6.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.3,Preexisting_Diabetes_per_100,Black,2.3,Cardiac_Disease_per_100,Black,3.9,Current_Birth_Preterm_per100,Black,11.9,
Providence-Warwick_RI-MA,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
Milwaukee-Waukesha-West_Allis_WI,SMM_Rate_per_10000,Black,71,Age_>=_35_at_Delivery_per_100,Black,17.7,Bleeding_Disorder,Black,1.8,Asthma_per_100,Black,10.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10.2,Preexisting_Diabetes_per_100,Black,1.2,Cardiac_Disease_per_100,Black,1,Current_Birth_Preterm_per100,Black,12,
Jacksonville_FL,SMM_Rate_per_10000,Black,108,Age_>=_35_at_Delivery_per_100,Black,17.6,Bleeding_Disorder,Black,3.1,Asthma_per_100,Black,5.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,14,Preexisting_Diabetes_per_100,Black,2.1,Cardiac_Disease_per_100,Black,1.2,Current_Birth_Preterm_per100,Black,15.8,
Memphis_TN-MS-AR,SMM_Rate_per_10000,Black,78,Age_>=_35_at_Delivery_per_100,Black,14,Bleeding_Disorder,Black,0.8,Asthma_per_100,Black,2.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.5,Preexisting_Diabetes_per_100,Black,1.8,Cardiac_Disease_per_100,Black,0.8,Current_Birth_Preterm_per100,Black,11.9,
Oklahoma_City_OK,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,16.8,Bleeding_Disorder,Black,0.9,Asthma_per_100,Black,7.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,12.5,Preexisting_Diabetes_per_100,Black,2.6,Cardiac_Disease_per_100,Black,0.9,Current_Birth_Preterm_per100,Black,10.8,
Louisville/Jefferson_County_KY-IN,SMM_Rate_per_10000,Black,260,Age_>=_35_at_Delivery_per_100,Black,17.7,Bleeding_Disorder,Black,4,Asthma_per_100,Black,10.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,8,Preexisting_Diabetes_per_100,Black,4.4,Cardiac_Disease_per_100,Black,1.2,Current_Birth_Preterm_per100,Black,14.1,
Hartford-West_Hartford-East_Hartford_CT,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,30.4,Bleeding_Disorder,Black,3.9,Asthma_per_100,Black,14.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,9.8,Preexisting_Diabetes_per_100,Black,3.9,Cardiac_Disease_per_100,Black,2,Current_Birth_Preterm_per100,Black,12.7,
Richmond_VA,SMM_Rate_per_10000,Black,25,Age_>=_35_at_Delivery_per_100,Black,19.2,Bleeding_Disorder,Black,1.9,Asthma_per_100,Black,7.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,14.6,Preexisting_Diabetes_per_100,Black,2.2,Cardiac_Disease_per_100,Black,1.5,Current_Birth_Preterm_per100,Black,11.1,
New_Orleans-Metairie_LA,SMM_Rate_per_10000,Black,164,Age_>=_35_at_Delivery_per_100,Black,30.1,Bleeding_Disorder,Black,5.1,Asthma_per_100,Black,8.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.6,Preexisting_Diabetes_per_100,Black,1.6,Cardiac_Disease_per_100,Black,1.1,Current_Birth_Preterm_per100,Black,12.3,
Buffalo-Cheektowaga-Niagara_Falls_NY,SMM_Rate_per_10000,Black,194,Age_>=_35_at_Delivery_per_100,Black,13.1,Bleeding_Disorder,Black,2,Asthma_per_100,Black,6.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,13.7,Preexisting_Diabetes_per_100,Black,0.6,Cardiac_Disease_per_100,Black,1.1,Current_Birth_Preterm_per100,Black,12.3,
Raleigh_NC,SMM_Rate_per_10000,Black,123,Age_>=_35_at_Delivery_per_100,Black,25.3,Bleeding_Disorder,Black,2.5,Asthma_per_100,Black,9.4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,11.7,Preexisting_Diabetes_per_100,Black,2.8,Cardiac_Disease_per_100,Black,0.8,Current_Birth_Preterm_per100,Black,10.9,
Birmingham-Hoover_AL,SMM_Rate_per_10000,Black,168,Age_>=_35_at_Delivery_per_100,Black,17.2,Bleeding_Disorder,Black,1.9,Asthma_per_100,Black,5.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,10.2,Preexisting_Diabetes_per_100,Black,3.1,Cardiac_Disease_per_100,Black,1.8,Current_Birth_Preterm_per100,Black,14.6,
Salt_Lake_City_UT,SMM_Rate_per_10000,Black,NA,Age_>=_35_at_Delivery_per_100,Black,NA,Bleeding_Disorder,Black,NA,Asthma_per_100,Black,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Black,NA,Preexisting_Diabetes_per_100,Black,NA,Cardiac_Disease_per_100,Black,NA,Current_Birth_Preterm_per100,Black,NA,
National,SMM_Rate_per_10000,Hispanic,84,Age_>=_35_at_Delivery_per_100,Hispanic,22.1,Bleeding_Disorder,Hispanic,1.9,Asthma_per_100,Hispanic,4.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,8.8,Preexisting_Diabetes_per_100,Hispanic,1.8,Cardiac_Disease_per_100,Hispanic,0.9,Current_Birth_Preterm_per100,Hispanic,10,
New_York-Newark-Jersey_City_NY-NJ-PA,SMM_Rate_per_10000,Hispanic,107,Age_>=_35_at_Delivery_per_100,Hispanic,31.8,Bleeding_Disorder,Hispanic,3.5,Asthma_per_100,Hispanic,7.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,10.1,Preexisting_Diabetes_per_100,Hispanic,1.2,Cardiac_Disease_per_100,Hispanic,1.4,Current_Birth_Preterm_per100,Hispanic,9.8,
Los_Angeles-Long_Beach-Anaheim_CA,SMM_Rate_per_10000,Hispanic,80,Age_>=_35_at_Delivery_per_100,Hispanic,33.7,Bleeding_Disorder,Hispanic,1.7,Asthma_per_100,Hispanic,4,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,8.3,Preexisting_Diabetes_per_100,Hispanic,1.6,Cardiac_Disease_per_100,Hispanic,0.7,Current_Birth_Preterm_per100,Hispanic,8.6,
Chicago-Naperville-Elgin_IL-IN-WI,SMM_Rate_per_10000,Hispanic,69,Age_>=_35_at_Delivery_per_100,Hispanic,25.9,Bleeding_Disorder,Hispanic,2.5,Asthma_per_100,Hispanic,6.1,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,9.7,Preexisting_Diabetes_per_100,Hispanic,2.5,Cardiac_Disease_per_100,Hispanic,1.1,Current_Birth_Preterm_per100,Hispanic,10.4,
Dallas-Fort_Worth-Arlington_TX,SMM_Rate_per_10000,Hispanic,82,Age_>=_35_at_Delivery_per_100,Hispanic,17.8,Bleeding_Disorder,Hispanic,2.6,Asthma_per_100,Hispanic,4.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,10.1,Preexisting_Diabetes_per_100,Hispanic,2.3,Cardiac_Disease_per_100,Hispanic,0.7,Current_Birth_Preterm_per100,Hispanic,10.2,
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,12.6,Bleeding_Disorder,Hispanic,3.9,Asthma_per_100,Hispanic,11.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,8.7,Preexisting_Diabetes_per_100,Hispanic,1,Cardiac_Disease_per_100,Hispanic,1,Current_Birth_Preterm_per100,Hispanic,7.8,
Houston-The_Woodlands-Sugar_Land_TX,SMM_Rate_per_10000,Hispanic,92,Age_>=_35_at_Delivery_per_100,Hispanic,19.1,Bleeding_Disorder,Hispanic,1.9,Asthma_per_100,Hispanic,3.3,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,11.7,Preexisting_Diabetes_per_100,Hispanic,1.3,Cardiac_Disease_per_100,Hispanic,0.8,Current_Birth_Preterm_per100,Hispanic,11.4,
Washington-Arlington-Alexandria_DC-VA-MD-WV,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,27.3,Bleeding_Disorder,Hispanic,3.3,Asthma_per_100,Hispanic,7.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,8.1,Preexisting_Diabetes_per_100,Hispanic,0,Cardiac_Disease_per_100,Hispanic,1,Current_Birth_Preterm_per100,Hispanic,8.6,
Miami-Fort_Lauderdale-West_Palm_Beach_FL,SMM_Rate_per_10000,Hispanic,122,Age_>=_35_at_Delivery_per_100,Hispanic,31.5,Bleeding_Disorder,Hispanic,1.6,Asthma_per_100,Hispanic,2.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,6.9,Preexisting_Diabetes_per_100,Hispanic,1,Cardiac_Disease_per_100,Hispanic,1.3,Current_Birth_Preterm_per100,Hispanic,9.1,
Atlanta-Sandy_Springs-Roswell_GA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,24.4,Bleeding_Disorder,Hispanic,2.2,Asthma_per_100,Hispanic,2.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,3.3,Preexisting_Diabetes_per_100,Hispanic,2.2,Cardiac_Disease_per_100,Hispanic,0,Current_Birth_Preterm_per100,Hispanic,13.3,
Boston-Cambridge-Newton_MA-NH,SMM_Rate_per_10000,Hispanic,187,Age_>=_35_at_Delivery_per_100,Hispanic,22.7,Bleeding_Disorder,Hispanic,3.1,Asthma_per_100,Hispanic,4.9,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,9.3,Preexisting_Diabetes_per_100,Hispanic,0.6,Cardiac_Disease_per_100,Hispanic,0.8,Current_Birth_Preterm_per100,Hispanic,7.4,
San_Francisco-Oakland-Hayward_CA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,27,Bleeding_Disorder,Hispanic,7,Asthma_per_100,Hispanic,10,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,13,Preexisting_Diabetes_per_100,Hispanic,1,Cardiac_Disease_per_100,Hispanic,2,Current_Birth_Preterm_per100,Hispanic,4,
Detroit-Warren-Dearborn_MI,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,14.6,Bleeding_Disorder,Hispanic,1.9,Asthma_per_100,Hispanic,5.7,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,6.3,Preexisting_Diabetes_per_100,Hispanic,1.9,Cardiac_Disease_per_100,Hispanic,0.6,Current_Birth_Preterm_per100,Hispanic,10.1,
Riverside-San_Bernardino-Ontario_CA,SMM_Rate_per_10000,Hispanic,104,Age_>=_35_at_Delivery_per_100,Hispanic,20,Bleeding_Disorder,Hispanic,1.6,Asthma_per_100,Hispanic,3.8,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,7.6,Preexisting_Diabetes_per_100,Hispanic,1.8,Cardiac_Disease_per_100,Hispanic,0.9,Current_Birth_Preterm_per100,Hispanic,9.1,
Phoenix-Mesa-Scottsdale_AZ,SMM_Rate_per_10000,Hispanic,46,Age_>=_35_at_Delivery_per_100,Hispanic,15.4,Bleeding_Disorder,Hispanic,1.8,Asthma_per_100,Hispanic,5.5,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,10.7,Preexisting_Diabetes_per_100,Hispanic,2.4,Cardiac_Disease_per_100,Hispanic,1.2,Current_Birth_Preterm_per100,Hispanic,9.7,
Seattle-Tacoma-Bellevue_WA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Minneapolis-St._Paul-Bloomington_MN-WI,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
San_Diego-Carlsbad_CA,SMM_Rate_per_10000,Hispanic,24,Age_>=_35_at_Delivery_per_100,Hispanic,26.5,Bleeding_Disorder,Hispanic,2.2,Asthma_per_100,Hispanic,5.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,5.3,Preexisting_Diabetes_per_100,Hispanic,1,Cardiac_Disease_per_100,Hispanic,0.7,Current_Birth_Preterm_per100,Hispanic,11.3,
St._Louis_MO-IL,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Tampa-St._Petersburg-Clearwater_FL,SMM_Rate_per_10000,Hispanic,53,Age_>=_35_at_Delivery_per_100,Hispanic,21.2,Bleeding_Disorder,Hispanic,1.6,Asthma_per_100,Hispanic,9.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,8.6,Preexisting_Diabetes_per_100,Hispanic,0.8,Cardiac_Disease_per_100,Hispanic,1,Current_Birth_Preterm_per100,Hispanic,7.4,
Baltimore-Columbia-Towson_MD,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Denver-Aurora-Lakewood_CO,SMM_Rate_per_10000,Hispanic,189,Age_>=_35_at_Delivery_per_100,Hispanic,23.2,Bleeding_Disorder,Hispanic,1.9,Asthma_per_100,Hispanic,8.2,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,12.8,Preexisting_Diabetes_per_100,Hispanic,1.8,Cardiac_Disease_per_100,Hispanic,1.1,Current_Birth_Preterm_per100,Hispanic,9.3,
Pittsburgh_PA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Portland-Vancouver-Hillsboro_OR-WA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Charlotte-Concord-Gastonia_NC-SC,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
Sacramento--Roseville--Arden-Arcade_CA,SMM_Rate_per_10000,Hispanic,NA,Age_>=_35_at_Delivery_per_100,Hispanic,NA,Bleeding_Disorder,Hispanic,NA,Asthma_per_100,Hispanic,NA,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,NA,Preexisting_Diabetes_per_100,Hispanic,NA,Cardiac_Disease_per_100,Hispanic,NA,Current_Birth_Preterm_per100,Hispanic,NA,
San_Antonio-New_Braunfels_TX,SMM_Rate_per_10000,Hispanic,47,Age_>=_35_at_Delivery_per_100,Hispanic,18.7,Bleeding_Disorder,Hispanic,1.4,Asthma_per_100,Hispanic,3.6,Preeclampsia_without_Sever_Features_of_Gestational_Hypertension_per_100,Hispanic,10.4,Preexisting_Diabetes_per_100,Hispanic,2.4,Cardiac_Disease_per_100,Hispanic,0.7,Current_Birth_Preterm_per100,Hispanic,10.6,
